A R S Sport Strip - Belle Plaine, MN
Aanenson - Luverne, MN
Abbeville Crusta Memorial - Abbeville, LA
Abbeville Municipal - Abbeville, AL
Aberdeen Municipal - Aberdeen, ID
Aberdeen Municipal Airport - Aberdeen, SD
Abernathy - Pulaski, TN
Abernathy Municipal - Abernathy, TX
Abide - Greenville, MS
Abilene Municipal Airport - Abilene, TX
Abrams Municipal - Grand Ledge, MI
Acadiana Regional Airport - New Iberia, LA
Accomack County Airport - Melfa, VA
Ace - Anderson, IN
Ackerman-Choctaw Co - Ackerman, MS
Ackley Municipal - Ackley, IA
Ada - Ada, OH
Ada Airport - Ada, OK
Adak Island Naval Station - Adak Island, AK
Adams Co Legion - Friendship, WI
Addison Airport - Dallas, TX
Addison Municipal - Addison, AL
Adin - Adin, CA
Adirondack Airport - Saranac Lake, NY
Aero Country - Mc Kinney, TX
Aero Park - Menomonee Falls, WI
Aeroflex-Andover - Andover, NJ
Af Aux Airport - Indian Springs, NV
Afton Municipal Airport - Afton, WY
Agua Caliente Springs - Agua Caliente Springs, CA
Agua Dulce - Agua Dulce, CA
Aiken Municipal Airport - Aiken, SC
Ainsworth Airport - Ainsworth, NE
Air Harbor - Greensboro, NC
Air Park South - Ozark, MO
Airglades - Clewiston, FL
Airhaven - Staatsburg, NY
Airlake - Minneapolis, MN
Airlane Enterprises - Clay, NY
Airpark East - Dallas, TX
Airpark-Dallas - Dallas, TX
Airport - City, OR
Airport Manatee - Palmetto, FL
Airtrek - Waterloo, NY
Aitkin Mun - Kurtz - Aitkin, MN
Ajo Municipal - Ajo, AZ
Akhiok Sea Plane Base - Akhiok, AK
Akiachak Sea Plane Base - Akiachak, AK
Akiak Airport - Akiak, AK
Akron - Akron, NY
Akron Fulton International - Akron, OH
Akron Municipal - Akron, IA
Akron-Canton Airport - Akron, OH
Akutan Airport - Akutan, AK
Alakanuk Airport - Alakanuk, AK
Alameda Naval Air Station - Alameda, CA
Alamo Landing - Alamo, NV
Alamo-Navajo - Alamo, NM
Alamogordo Municipal Airport - Alamogordo, NM
Alamosa Municipal Airport - Alamosa, CO
Albany International Airport - Albany, NY
Albany Municipal - Albany, OR
Albany Municipal - Albany, TX
Albany Naval Air Station - Albany, GA
Albemarle Airport - Charlottesville, VA
Albert - Philipsburg, PA
Albert J Ellis Airport - Jacksonville, NC
Albert Lea Airport - Albert Lea, MN
Albertus Airport - Freeport, IL
Albia Municipal - Albia, IA
Albion Municipal - Albion, ID
Albion Municipal - Albion, NE
Albuquerque International Sunport - Albuquerque, NM
Alderman - St Clairsville, OH
Aleknagik Airport - Aleknagik, AK
Aleneva Airport - Aleneva, AK
Alexander Field - Wisconsin Rapids, WI
Alexander Municipal - Belen, NM
Alexandria - Alexandria, IN
Alexandria - Pittstown, NJ
Alexandria Bay Airport - Alexandria Bay, NY
Alexandria International Airport - Alexandria, LA
Alexandria Municipal Airport - Alexandria, MN
Algona Airport - Algona, IA
Alice International Airport - Alice, TX
Alitak Sea Plane Base - Alitak, AK
Alkali Lake State - Alkali Lake, OR
Allakaket Airport - Allakaket, AK
Allegheny County Airport - Pittsburgh, PA
Allen Army  Airfield - Delta Junction, AK
Allen County Airport - Lima, OH
Allen Parish - Oakdale, LA
Allendale Co - Allendale, SC
Allentown-Queen City Municipal - Allentown, PA
Alliance Airport - Alliance, NE
Allied - Tulsa, OK
Alma Municipal - Alma, NE
Almena - Paw Paw, MI
Almyra Municipal - Almyra, AR
Alpena County Regional Airport - Alpena, MI
Alpine - Alpine, WY
Alpine Airstrip - Nuiqsut, AK
Alpine Co - Markleeville, CA
Alpine-Casparis Municipal Airport - Alpine, TX
Alta - Dinuba, CA
Altoona Airport - Altoona, PA
Alturas Municipal - Alturas, CA
Altus Air Force Base - Altus, OK
Altus Municipal Airport - Altus, OK
Alva Regional - Alva, OK
Alvin Airpark - Alvin, TX
Alyeska Airport - Alyeska, AK
Amana - Amana, IA
Ambler Airport - Ambler, AK
Amchitka Airport - Amchitka, AK
Amedee Army Air Field - Herlong, CA
American Falls - American Falls, ID
Amery Municipal Airport - Amery, WI
Ames - Trenton, FL
Ames Airport - Ames, IA
Amook Airport - Amook, AK
Anacortes Airport - Anacortes, WA
Anadarko Municipal - Anadarko, OK
Anaheim Airport - Anaheim, CA
Anaktuvuk Airport - Anaktuvuk, AK
Andalusia-Opp Municipal - Andalusia/Opp, AL
Anderson - Brewster, WA
Anderson Airport - Anderson, SC
